vraag,antwoord
Wie is de vrouwelijke president van Suriname, Jennifer Geerlings-Simons
Wie is de vrouwelijke president van Mexico, Claudia Sheinbaum
Wie is de vrouwelijke president van Namibië«, Nandi-Ndaitwah
Wie is de vrouwelijke president van IJsland, Tomasdottir
Hoe heet de podcast van Alina Churikova over economie, Kop of Munt
Hoe heet de podcast van Veerle Duflou over lichamen aan de wetenschap, Stoffelijk
Hoe heet de podcast van Debby De Ridder over gedwongen huwelijk, Voor de eer
Hoe heet de podcast van Wim Oosterlinck over boeken, Drie boeken
Hoe heet de podcast over Royal Antwerp FC, De vierkante paal
Hoe heet de podcast van Sofie Verschueren over rouw en afscheid, Weg
Wie maakten de podcast over gangster Lacroix, Marjan Mutsaert en Lise Bonduelle
Wie maakte de podcast over zuster Gabrielle, Philippe Heymans
Hoe heet het bedevaartsoord in Peruwelz, Onze Lieve Vrouw Bon Secours
Wiens mirakel maakte van Oostakker Lourdes een bedevaartsoord, Pieter De Rudder
Welke Heilige wordt gevierd in de Fiertel, Sint Hermes
Hoe heet het ziekenhuis in Lessen, Notre dame de la rose
Waar ligt het grootste Duitse soldatenkerkhof, Langemark
Hoe heet het soldatenkerkhof nabij Bastogne, Mardasson
hoe heet de sporza-presentatrice die tegenwoordig de meeste uitzendingen doet, Astrid Demeure
Hoe heet mevrouw Bezos, Lauren Sanchez
Hoe heet de presentatrice van stubru en vtm die deed alsof ze zou trouwen, Flo Windey
Welke beroemde dragqueen presenteert de show “X Drag Race”, Rupaul
Hoe heet de dochter van actrice Candice Bergen die journalist werd bij Vogue, Chloe Malle
hoe heet de zanger van noir desir en wie sloeg hij dood, bertrand cantat en marie trintignant
welke komiek was de vriend van miou miou, coluche
Welke Duitse expressionistische beeldhouwer is bekend om zijn langgerekte menselijke figuren zoals De Denker uit 1918?,Wilhelm Lehmbruck
Kleine Japanse kunstbeeldjes die vaak aan kimono’s werden bevestigd,Netsuke
Welke Vlaamse beeldhouwer maakte het beroemde Brabofontein in Antwerpen?,Jef Lambeau
Welke Duitse kunstenaar is bekend van de reeks Volk Ding Zero?,Georg Baselitz
Wie ontwierp het Holocaustmonument in Berlijn?,Peter Eisenman
Welke Deense beeldhouwer maakte het beroemde Christusbeeld in de Domkerk van Kopenhagen?,Bertel Thorvaldsen
Welke middeleeuwse beeldengroep bevindt zich in Dijon en toont Mozes bij de bron?,Mosesput van Sluter
Welke Belgische beeldhouwer maakte moderne monumentale werken zoals het Atomium-paviljoen?,Olivier Strebelle
Welke Belgische romanticus maakte dramatische expressieve schilderijen en mythologische taferelen?,Antoine Wiertz
Welke Franse schilder staat bekend om zijn raadselachtige sensuele interieurscènes?,Balthus
Welke Venetiaanse renaissanceschilder was leerling van Bellini en leraar van Giorgione?,Vittore Carpaccio
Welke schilderkunstige voorstelling toont de vergankelijkheid van het leven aan de hand van symbolen zoals schedels en zandlopers?,Vanitas
Welke Duitse architect en ingenieur was pionier in lichtgewicht constructies en trekstructuren?,Frei Otto
De schil van een vrucht (meestal tomaat of amandel) verwijderen door ze kort in kokend water te dompelen en daarna in koud water te leggen, Emonderen
Snel bakken in weinig vetstof op hoge temperatuur meestal in een koekenpan of sauteerpan, Sauteren
Na het bakken het aanbaksel in de pan loskoken met vocht om een saus te maken, Deglaceren
Aan het einde van de bereiding koude boterklontjes door een saus kloppen om ze glanzend en voller van smaak te maken, Monteren
In zeer kleine blokjes gesneden groenten (2–3 mm), Brunoise
Bladgroenten (zoals basilicum of spinazie) in fijne reepjes gesneden, chiffonade
Grotere onregelmatige stukjes groenten vaak voor soep of stoofpot, paysanne
Tomaten ontpitten ontvellen (emonderen) en in blokjes snijden, Concasseren
Onnodige delen (zoals vet of vliezen) van vlees of vis wegsnijden, Pareren
Vlees of gevogelte in plakken snijden vaak aan tafel, trancheren
Een pasta van boter en bloem gebruikt om een saus te binden, Beurre manié
Een lichte saus op basis van bouillon en een blonde roux, vélouté
Wie won nobelprijs voor de vrede in 2025, Maria Corina Machado
In de Juwelenroof uit het Louvre werd een toestel gebruikt, haakse slijper
Uit welke galerij in het Louvre werden de juwelen gestolen, Gallerie d’Appolon
Hoe heet het ierse architectenbureau dat het Groot Egyptisch Museum bouwde, Heneghan Peng
Welke Surinaamse ex-president is onlangs overleden, Ronald Venetiaan
Welk slachtoffer van Epstein pleegde zelfmoord, Virginia Giuffre - schandaal
Hoe heet het verdwenen dorp door een berglawine, Blatten
Welke rivier overstroomde in Texas en hoe heet het kamp waar jongeren verdronken, Guadelupe en Camp Mystic
Vluchtnummer en plaats van de neergestorte Boeing van Air India, Ahemdabad 171
Hoe heet de Orkaan die nu Jamaica verwoest, Melissa
In welke staat stortte een vliegtuig van UPS neer, Kentucky
Welke klunzen pleegden een mislukte aanslag op Trump, Thomas Crooks en Ryan Routh
Wie vermoordde Charlie Kirk, Tyler Robinson
Wie vermoordde democrate Melissa Hortman, Vance Luther Boelter
Wie pleegde de moord op Brian Thompson van de gezondheidsverzekering, Luigi Mangione
Wie is de leider van Hezbollah, HASSAN NASRALLAH
Commissaris-generaal van de Belgische federale politie sinds 2020, Eric Snoeck
Hoe heet de Brusselse procureur die de drugswereld de oorlog verklaarde, Julien Moinil
Welke burgemeester van Istanboel is een gevaar voor Erdogan, Imamoglu
Is een Saoedische activiste voor vrouwenrechten en een prominente vlogster die nu huisarrest heeft, Loujain al-Hathloul
Hoe heet het grote Belgische wielertalent, Jarno Widar
Wie werd wereldkampioene wielrennen in 2025, Magdalene Vallieres
Welke Ethiopische was revelatie op het WK wielrennen 2025, Tigre Kiros
Wie won de wereldtitel tijdrijden bij de vrouwen in 2025, Marlen Reusser
Welke Belgische moest stoppen met wielrennen vanwege mechanische doping, Femke Vandendriessche
Welke Belgische veldrijdster overleed in 2021 aan kanker?, Jolien Verschueren
Wie was de Winnares van de ronde van Frankrijk 2025, Pauline Ferrand-Prévot
Welke Belg werd 3de in het tijdrijden in het WK van 2025, Ilan van Wilder
Welke Belg werd 3de bij de junioren in het WK van 2025?, Steff Van Kerckhove
Welke bokser wordt soms wel eens de echte Shrek genoemd?, Maurice Thillet
Welke bobsleeêr en avonturier kwam om bij een duik in een grot?, Marc Sluszny
Welke Georgische rodelaar kwam om het leven tijdens de training voor de Olympische Winterspelen 2010?, Nodar Kumaratischvili
